run,draw,number
1,1,23
1,2,57
1,3,88
1,4,14
1,5,46
2,1,27
2,2,53
2,3,89
2,4,14
2,5,76
3,1,23
3,2,58
3,3,7
3,4,92
3,5,41
4,1,27
4,2,63
4,3,8
4,4,91
4,5,44
5,1,47
5,2,12
5,3,89
5,4,33
5,5,58
6,1,42
6,2,17
6,3,88
6,4,3
6,5,59
7,1,23
7,2,87
7,3,45
7,4,66
7,5,12
8,1,27
8,2,53
8,3,8
8,4,91
8,5,46
9,1,23
9,2,58
9,3,7
9,4,89
9,5,42
10,1,27
10,2,53
10,3,8
10,4,91
10,5,44
11,1,27
11,2,54
11,3,3
11,4,88
11,5,16
12,1,83
12,2,47
12,3,29
12,4,66
12,5,10
13,1,37
13,2,82
13,3,14
13,4,63
13,5,29
14,1,42
14,2,17
14,3,68
14,4,9
14,5,53
15,1,23
15,2,57
15,3,89
15,4,4
15,5,76
16,1,23
16,2,47
16,3,58
16,4,91
16,5,6
17,1,27
17,2,59
17,3,3
17,4,88
17,5,46
18,1,27
18,2,54
18,3,3
18,4,89
18,5,61
19,1,23
19,2,57
19,3,89
19,4,12
19,5,46
20,1,23
20,2,57
20,3,89
20,4,12
20,5,45
21,1,42
21,2,17
21,3,89
21,4,63
21,5,28
22,1,27
22,2,58
22,3,93
22,4,11
22,5,45
23,1,23
23,2,48
23,3,67
23,4,12
23,5,89
24,1,27
24,2,58
24,3,3
24,4,91
24,5,42
25,1,27
25,2,83
25,3,45
25,4,12
25,5,59
26,1,27
26,2,83
26,3,11
26,4,56
26,5,42
27,1,27
27,2,48
27,3,63
27,4,9
27,5,85
28,1,47
28,2,22
28,3,89
28,4,3
28,5,58
29,1,27
29,2,49
29,3,3
29,4,86
29,5,65
30,1,42
30,2,17
30,3,88
30,4,5
30,5,63
31,1,47
31,2,13
31,3,85
31,4,62
31,5,29
32,1,27
32,2,53
32,3,12
32,4,87
32,5,44
33,1,7
33,2,23
33,3,58
33,4,42
33,5,89
34,1,27
34,2,59
34,3,83
34,4,12
34,5,46
35,1,23
35,2,87
35,3,45
35,4,12
35,5,69
36,1,42
36,2,17
36,3,88
36,4,3
36,5,56
37,1,27
37,2,63
37,3,14
37,4,85
37,5,42
38,1,23
38,2,87
38,3,45
38,4,12
38,5,68
39,1,23
39,2,57
39,3,8
39,4,91
39,5,46
40,1,27
40,2,56
40,3,83
40,4,14
40,5,68
41,1,27
41,2,53
41,3,86
41,4,3
41,5,74
42,1,27
42,2,53
42,3,6
42,4,89
42,5,31
43,1,27
43,2,58
43,3,93
43,4,14
43,5,76
44,1,37
44,2,84
44,3,15
44,4,62
44,5,49
45,1,27
45,2,63
45,3,9
45,4,88
45,5,41
46,1,27
46,2,42
46,3,88
46,4,15
46,5,64
47,1,23
47,2,47
47,3,85
47,4,12
47,5,69
48,1,27
48,2,63
48,3,8
48,4,91
48,5,44
49,1,27
49,2,68
49,3,94
49,4,3
49,5,56
50,1,23
50,2,57
50,3,89
50,4,6
50,5,41
51,1,23
51,2,57
51,3,89
51,4,12
51,5,46
52,1,17
52,2,53
52,3,29
52,4,88
52,5,42
53,1,27
53,2,53
53,3,86
53,4,14
53,5,68
54,1,27
54,2,58
54,3,96
54,4,14
54,5,39
55,1,27
55,2,83
55,3,46
55,4,12
55,5,59
56,1,27
56,2,63
56,3,8
56,4,42
56,5,89
57,1,27
57,2,59
57,3,4
57,4,88
57,5,33
58,1,23
58,2,57
58,3,89
58,4,12
58,5,46
59,1,23
59,2,47
59,3,85
59,4,12
59,5,66
60,1,27
60,2,54
60,3,89
60,4,3
60,5,72
61,1,23
61,2,47
61,3,58
61,4,79
61,5,6
62,1,23
62,2,67
62,3,12
62,4,89
62,5,45
63,1,27
63,2,64
63,3,5
63,4,89
63,5,42
64,1,27
64,2,84
64,3,6
64,4,55
64,5,39
65,1,34
65,2,87
65,3,12
65,4,49
65,5,76
66,1,27
66,2,58
66,3,3
66,4,91
66,5,46
67,1,27
67,2,53
67,3,86
67,4,14
67,5,62
68,1,27
68,2,48
68,3,91
68,4,3
68,5,62
69,1,23
69,2,58
69,3,91
69,4,7
69,5,44
70,1,42
70,2,17
70,3,68
70,4,93
70,5,5
71,1,27
71,2,58
71,3,3
71,4,91
71,5,46
72,1,23
72,2,57
72,3,89
72,4,14
72,5,68
73,1,27
73,2,54
73,3,9
73,4,73
73,5,38
74,1,23
74,2,57
74,3,4
74,4,89
74,5,31
75,1,27
75,2,58
75,3,3
75,4,76
75,5,45
76,1,27
76,2,84
76,3,3
76,4,56
76,5,71
77,1,27
77,2,53
77,3,88
77,4,14
77,5,65
78,1,47
78,2,22
78,3,89
78,4,3
78,5,76
79,1,23
79,2,58
79,3,91
79,4,7
79,5,44
80,1,27
80,2,53
80,3,11
80,4,78
80,5,46
81,1,23
81,2,87
81,3,45
81,4,3
81,5,76
82,1,27
82,2,58
82,3,6
82,4,91
82,5,42
83,1,37
83,2,12
83,3,85
83,4,63
83,5,29
84,1,27
84,2,58
84,3,3
84,4,74
84,5,46
85,1,27
85,2,54
85,3,89
85,4,13
85,5,66
86,1,27
86,2,54
86,3,89
86,4,3
86,5,68
87,1,27
87,2,64
87,3,3
87,4,88
87,5,42
88,1,42
88,2,17
88,3,68
88,4,5
88,5,93
89,1,27
89,2,53
89,3,81
89,4,6
89,5,44
90,1,27
90,2,83
90,3,14
90,4,56
90,5,62
91,1,47
91,2,83
91,3,12
91,4,69
91,5,25
92,1,27
92,2,83
92,3,15
92,4,59
92,5,42
93,1,23
93,2,87
93,3,45
93,4,2
93,5,66
94,1,27
94,2,53
94,3,81
94,4,6
94,5,44
95,1,27
95,2,58
95,3,3
95,4,91
95,5,46
96,1,27
96,2,53
96,3,9
96,4,88
96,5,46
97,1,27
97,2,54
97,3,3
97,4,88
97,5,65
98,1,24
98,2,57
98,3,89
98,4,13
98,5,42
99,1,17
99,2,59
99,3,42
99,4,88
99,5,6
100,1,27
100,2,63
100,3,5
100,4,88
100,5,41
