number,run
57,1
57,2
57,3
57,4
37,5
57,6
57,7
57,8
57,9
47,10
73,11
47,12
27,13
57,14
57,15
47,16
47,17
47,18
47,19
57,20
57,21
47,22
57,23
57,24
57,25
37,26
57,27
73,28
57,29
57,30
57,31
47,32
57,33
57,34
57,35
47,36
57,37
57,38
47,39
47,40
27,41
57,42
47,43
73,44
27,45
57,46
57,47
37,48
47,49
47,50
47,51
57,52
47,53
27,54
47,55
57,56
47,57
47,58
37,59
27,60
37,61
57,62
27,63
57,64
57,65
37,66
47,67
73,68
57,69
27,70
37,71
57,72
27,73
57,74
57,75
57,76
73,77
47,78
57,79
57,80
47,81
57,82
27,83
57,84
57,85
37,86
47,87
57,88
37,89
47,90
47,91
47,92
42,93
57,94
42,95
57,96
27,97
37,98
57,99
47,100
